,device_address,colour,device_type,type_temperature,resident_id,sensorset_id,subgroup_id,number_of_messages,reference_beacon
0,48553,12,7,binnen,5834,56857028,587,413,False
1,4278274346,48,7,binnen,5834,56857028,587,2162,True
2,52495,12,7,binnen,5834,56857028,587,242,False
3,4278271304,48,7,binnen,5856,13517482,587,1965,True
4,48832,61,7,binnen,24489,69293745,587,411,False
5,50156,50,0,binnen,24489,69293745,587,948,False
6,41264,2,0,binnen,24489,69293745,587,999,False
7,45047,40,0,binnen,24489,69293745,587,1045,False
8,52509,12,7,binnen,24489,69293745,587,240,False
9,49278,47,0,binnen,24489,69293745,587,999,False
10,39171,12,0,binnen,5925,14468433,587,1068,False
12,48521,12,7,binnen,5925,14468433,587,430,False
13,48813,61,7,binnen,5925,14468433,587,406,False
14,42134,50,0,binnen,5925,14468433,587,1140,False
15,49143,40,0,binnen,5925,14468433,587,1106,False
16,43319,47,0,binnen,5925,14468433,587,2021,False
17,41118,2,0,binnen,5925,14468433,587,1136,False
18,39168,12,0,binnen,5930,60218045,587,1172,False
19,41260,2,0,binnen,5930,60218045,587,1183,False
20,48787,61,7,binnen,5930,60218045,587,410,False
21,43320,47,0,binnen,5930,60218045,587,1166,False
22,53593,61,7,binnen,5930,60218045,587,244,False
23,50170,50,0,binnen,5930,60218045,587,1071,False
24,45117,40,0,binnen,5930,60218045,587,1316,False
25,42561,47,0,binnen,8383,15419478,587,1232,False
26,48801,61,7,binnen,8383,15419478,587,430,False
27,42215,50,0,binnen,8383,15419478,587,1108,False
28,45001,40,0,binnen,8383,15419478,587,1319,False
29,41130,2,0,binnen,8383,15419478,587,1169,False
30,48490,12,7,binnen,8383,15419478,587,404,False
32,39263,12,0,binnen,8383,15419478,587,1129,False
33,48840,61,7,binnen,13815,74742173,587,417,False
34,44497,2,7,binnen,13815,74742173,587,406,False
35,48532,12,7,binnen,13815,74742173,587,427,False
36,41135,2,0,binnen,22175,65798449,586,1059,False
37,48592,12,7,binnen,22175,65798449,586,387,False
38,53553,61,7,binnen,22175,65798449,586,241,False
39,38643,12,0,binnen,22175,65798449,586,1195,False
40,43191,47,0,binnen,22175,65798449,586,1410,False
41,49144,40,0,binnen,22175,65798449,586,1384,False
42,42201,50,0,binnen,22175,65798449,586,1046,False
44,41218,2,0,binnen,10808,58404033,586,1043,False
45,53737,12,0,binnen,10808,58404033,586,1076,False
47,43286,47,0,binnen,10808,58404033,586,1326,False
48,49177,40,0,binnen,10808,58404033,586,1053,False
49,42171,50,0,binnen,10808,58404033,586,975,False
50,48573,12,7,binnen,10808,58404033,586,411,False
52,48788,61,7,binnen,26110,70201832,586,398,False
54,48492,12,7,binnen,26111,77164177,586,389,False
55,53534,61,7,binnen,26111,77164177,586,240,False
56,48836,61,7,binnen,22314,68638612,586,416,False
57,48550,12,7,binnen,22314,68638612,586,413,False
58,48906,2,0,binnen,22314,68638612,586,1244,False
59,34897,12,0,binnen,22314,68638612,586,1273,False
60,43288,47,0,binnen,22314,68638612,586,1646,False
61,45019,40,0,binnen,22314,68638612,586,1882,False
62,41980,50,0,binnen,22314,68638612,586,1166,False
63,42177,50,0,binnen,10150,24368278,586,1040,False
64,48833,61,7,binnen,10150,24368278,586,406,False
66,45131,40,0,binnen,10150,24368278,586,1334,False
67,48591,12,7,binnen,10150,24368278,586,409,False
68,41139,2,0,binnen,10150,24368278,586,1205,False
69,34903,12,0,binnen,10150,24368278,586,1149,False
70,43131,47,0,binnen,10150,24368278,586,1164,False
71,42219,50,0,binnen,22315,63027799,586,1057,False
72,48557,12,7,binnen,22315,63027799,586,414,False
73,48816,61,7,binnen,22315,63027799,586,418,False
74,45073,40,0,binnen,22315,63027799,586,7681,False
75,48916,2,0,binnen,22315,63027799,586,1132,False
76,34902,12,0,binnen,22315,63027799,586,1227,False
77,42778,47,0,binnen,22315,63027799,586,1474,False
78,4278274323,48,7,binnen,5852,95187596,586,1967,True
79,42120,50,0,binnen,26505,74321476,586,1275,False
80,49417,47,0,binnen,26505,74321476,586,1710,False
81,45034,40,0,binnen,26505,74321476,586,1683,False
82,41263,2,0,binnen,26505,74321476,586,1311,False
83,39279,12,0,binnen,26505,74321476,586,1218,False
84,48594,12,7,binnen,26505,74321476,586,404,False
85,48799,61,7,binnen,26505,74321476,586,405,False
86,39233,12,0,binnen,9439,62939768,586,1153,False
87,42280,50,0,binnen,9439,62939768,586,1150,False
88,43280,47,0,binnen,9439,62939768,586,1089,False
89,49168,40,0,binnen,9439,62939768,586,1036,False
90,48819,61,7,binnen,9439,62939768,586,412,False
91,48564,12,7,binnen,9439,62939768,586,435,False
93,48921,2,0,binnen,9439,62939768,586,1062,False
94,41255,2,0,binnen,22344,65662337,586,1376,False
95,39243,12,0,binnen,22344,65662337,586,1169,False
96,48811,61,7,binnen,22344,65662337,586,408,False
97,42157,50,0,binnen,22344,65662337,586,1168,False
98,46479,40,0,binnen,22344,65662337,586,1215,False
99,43151,47,0,binnen,22344,65662337,586,994,False
101,48606,12,7,binnen,22344,65662337,586,388,False
102,4278271244,48,7,binnen,5850,93288796,586,2587,True
103,46498,40,0,binnen,5891,61066724,586,1103,False
104,39202,12,0,binnen,5891,61066724,586,1300,False
105,43303,47,0,binnen,5891,61066724,586,1272,False
106,50157,50,0,binnen,5891,61066724,586,1015,False
108,48791,61,7,binnen,5891,61066724,586,422,False
109,48604,12,7,binnen,5891,61066724,586,410,False
110,48597,12,7,binnen,22353,82924920,586,405,False
111,48806,61,7,binnen,22353,82924920,586,397,False
112,48767,61,7,binnen,22353,82924920,586,384,False
113,53598,61,7,binnen,5833,32718627,586,256,False
114,48498,12,7,binnen,5832,35342637,586,378,False
115,48500,12,7,binnen,5832,35342637,586,397,False
116,48543,12,7,binnen,5832,35342637,586,408,False
117,48599,12,7,binnen,5849,92339537,586,403,False
118,44495,2,7,binnen,5830,36021928,586,144,False
119,36437,50,7,buiten,5830,36021928,586,372,False
120,4278277199,48,7,binnen,5830,36021928,586,2113,True
121,48505,12,7,binnen,5847,90441301,586,316,False
122,48570,12,7,binnen,5847,90441301,586,273,False
123,48517,12,7,binnen,5847,90441301,586,357,False
124,48542,12,7,binnen,5847,90441301,586,155,False
125,36448,50,7,buiten,5848,91390372,586,393,False
126,36440,50,7,buiten,5848,91390372,586,312,False
127,4278271148,48,7,binnen,5854,11615862,586,1938,True
129,49185,40,0,binnen,26566,67691797,586,1404,False
131,48617,61,7,binnen,26566,67691797,586,405,False
132,43147,47,0,binnen,26566,67691797,586,1333,False
133,48589,12,7,binnen,26566,67691797,586,402,False
134,41232,2,0,binnen,26566,67691797,586,1161,False
135,34907,12,0,binnen,26566,67691797,586,960,False
136,42111,50,0,binnen,26566,67691797,586,1059,False
137,43136,47,0,binnen,19743,76579309,586,1295,False
139,53736,12,0,binnen,19743,76579309,586,1125,False
140,40574,2,0,binnen,19743,76579309,586,1250,False
141,48588,12,7,binnen,19743,76579309,586,398,False
142,48814,61,7,binnen,19743,76579309,586,419,False
143,49147,40,0,binnen,19743,76579309,586,1280,False
144,42334,50,0,binnen,19743,76579309,586,1081,False
145,4278277357,48,7,binnen,5855,12566625,586,1910,True
147,43241,47,0,binnen,26753,77469912,586,1078,False
148,42254,50,0,binnen,26753,77469912,586,1143,False
149,48825,61,7,binnen,26753,77469912,586,410,False
150,41206,2,0,binnen,26753,77469912,586,1086,False
151,39159,12,0,binnen,26753,77469912,586,1124,False
152,48568,12,7,binnen,26753,77469912,586,391,False
153,49081,40,0,binnen,26753,77469912,586,1215,False
154,4278271299,48,7,binnen,5851,94238149,586,1919,True
155,39169,12,0,binnen,26567,76216516,586,970,False
156,52484,12,7,binnen,26567,76216516,586,236,False
157,43146,47,0,binnen,26567,76216516,586,902,False
158,41163,2,0,binnen,26567,76216516,586,988,False
159,42159,50,0,binnen,26567,76216516,586,919,False
160,48764,61,7,binnen,26567,76216516,586,427,False
161,48548,12,7,binnen,25654,77498018,586,400,False
162,42121,50,0,binnen,25654,77498018,586,925,False
163,41199,2,0,binnen,25654,77498018,586,924,False
164,43279,47,0,binnen,25654,77498018,586,968,False
165,49233,40,0,binnen,25654,77498018,586,1021,False
166,39217,12,0,binnen,25654,77498018,586,1010,False
167,48796,61,7,binnen,25654,77498018,586,393,False
168,39170,12,0,binnen,5917,75268949,586,900,False
169,48593,12,7,binnen,5917,75268949,586,401,False
170,46546,40,0,binnen,5917,75268949,586,1187,False
171,41176,2,0,binnen,5917,75268949,586,1149,False
172,43193,47,0,binnen,5917,75268949,586,1340,False
173,42170,50,0,binnen,5917,75268949,586,1125,False
175,48797,61,7,binnen,5917,75268949,586,421,False
176,49216,40,0,binnen,19540,75886106,586,1172,False
177,39136,12,0,binnen,19540,75886106,586,944,False
178,48552,12,7,binnen,19540,75886106,586,422,False
180,42224,50,0,binnen,19540,75886106,586,1010,False
181,48786,61,7,binnen,19540,75886106,586,403,False
182,43318,47,0,binnen,19540,75886106,586,1000,False
183,41175,2,0,binnen,19540,75886106,586,965,False
184,4278277382,48,7,binnen,5853,10665193,586,1399,True
185,46501,40,0,binnen,12087,95666432,586,1080,False
186,42725,47,0,binnen,12087,95666432,586,1131,False
187,48810,61,7,binnen,12087,95666432,586,327,False
188,41133,2,0,binnen,12087,95666432,586,1189,False
189,48562,12,7,binnen,12087,95666432,586,229,False
190,39128,12,0,binnen,12087,95666432,586,964,False
191,42110,50,0,binnen,12087,95666432,586,860,False
192,48512,12,7,binnen,25655,69585521,586,361,False
193,45060,40,0,binnen,25655,69585521,586,909,False
194,39174,12,0,binnen,25655,69585521,586,848,False
196,49360,47,0,binnen,25655,69585521,586,1149,False
197,42102,50,0,binnen,25655,69585521,586,840,False
199,41180,2,0,binnen,25655,69585521,586,1085,False
200,36449,50,7,buiten,11192,65403790,586,436,False
201,44490,2,7,binnen,11192,65403790,586,428,False
202,4278277198,48,7,binnen,11192,65403790,586,2117,True
203,36439,50,7,buiten,11192,65403790,586,388,False
204,53410,50,0,binnen,11205,76561073,586,1170,False
205,52514,12,7,binnen,11205,76561073,586,242,False
206,53734,12,0,binnen,11205,76561073,586,1469,False
207,48938,2,0,binnen,11205,76561073,586,1222,False
208,49356,47,0,binnen,11205,76561073,586,1301,False
209,53586,61,7,binnen,11205,76561073,586,251,False
211,49148,40,0,binnen,11205,76561073,586,1187,False
212,53408,50,0,binnen,19966,63905477,586,1095,False
213,53568,61,7,binnen,19966,63905477,586,235,False
215,52461,12,7,binnen,19966,63905477,586,315,False
216,53525,12,0,binnen,19966,63905477,586,1091,False
217,48954,2,0,binnen,19966,63905477,586,1050,False
218,49179,40,0,binnen,19966,63905477,586,1377,False
219,49343,47,0,binnen,19966,63905477,586,1108,False
221,38600,12,0,binnen,9450,80196993,586,935,False
222,48560,12,7,binnen,9450,80196993,586,399,False
224,46485,40,0,binnen,9450,80196993,586,1105,False
225,41145,2,0,binnen,9450,80196993,586,1090,False
226,43258,47,0,binnen,9450,80196993,586,1093,False
227,42205,50,0,binnen,9450,80196993,586,935,False
228,42112,50,0,binnen,27510,66745076,586,925,False
229,40577,2,0,binnen,27510,66745076,586,987,False
230,45121,40,0,binnen,27510,66745076,586,1003,False
231,48769,61,7,binnen,27510,66745076,586,411,False
232,39203,12,0,binnen,27510,66745076,586,22,False
233,48566,12,7,binnen,27510,66745076,586,383,False
234,43289,47,0,binnen,27510,66745076,586,920,False
235,52343,12,7,binnen,12894,74822825,586,257,False
236,52348,12,7,binnen,12895,90583053,586,250,False
237,52346,12,7,binnen,12896,68068878,586,246,False
238,43144,47,0,binnen,5912,71479621,586,1109,False
239,49225,40,0,binnen,5912,71479621,586,1263,False
240,42221,50,0,binnen,5912,71479621,586,1116,False
241,41297,2,0,binnen,5912,71479621,586,1790,False
242,48760,61,7,binnen,5912,71479621,586,435,False
243,34905,12,0,binnen,5912,71479621,586,1100,False
244,48508,12,7,binnen,5912,71479621,586,406,False
245,41312,2,0,binnen,24230,50786320,586,1321,False
246,43236,47,0,binnen,24230,50786320,586,969,False
247,49164,40,0,binnen,24230,50786320,586,1522,False
248,39216,12,0,binnen,24230,50786320,586,1088,False
249,42104,50,0,binnen,24230,50786320,586,1142,False
250,45126,40,0,binnen,19617,62012881,586,1333,False
251,39143,12,0,binnen,19617,62012881,586,1214,False
252,42185,50,0,binnen,19617,62012881,586,1125,False
253,41161,2,0,binnen,19617,62012881,586,1144,False
254,48558,12,7,binnen,19617,62012881,586,400,False
255,43282,47,0,binnen,19617,62012881,586,1294,False
256,53532,61,7,binnen,19617,62012881,586,241,False
258,45058,40,0,binnen,23192,73823746,586,1161,False
259,42278,50,0,binnen,23192,73823746,586,496,False
260,48809,61,7,binnen,23192,73823746,586,388,False
261,43178,47,0,binnen,23192,73823746,586,1248,False
262,41202,2,0,binnen,23192,73823746,586,1170,False
263,39154,12,0,binnen,23192,73823746,586,1190,False
264,48574,12,7,binnen,23192,73823746,586,392,False
265,45028,40,0,binnen,18502,70532524,586,1178,False
266,41448,50,0,binnen,18502,70532524,586,942,False
267,48607,12,7,binnen,18502,70532524,586,417,False
268,48783,61,7,binnen,18502,70532524,586,415,False
269,43186,47,0,binnen,18502,70532524,586,1711,False
270,41209,2,0,binnen,18502,70532524,586,987,False
271,39167,12,0,binnen,18502,70532524,586,1073,False
272,41129,2,0,binnen,25443,46622120,586,1082,False
273,45067,40,0,binnen,25443,46622120,586,1241,False
274,41452,50,0,binnen,25443,46622120,586,1081,False
276,48603,12,7,binnen,25443,46622120,586,388,False
277,53624,61,7,binnen,25443,46622120,586,229,False
278,39227,12,0,binnen,25443,46622120,586,1109,False
279,43135,47,0,binnen,25443,46622120,586,980,False
280,41304,2,0,binnen,27511,53870648,586,1031,False
281,48779,61,7,binnen,27511,53870648,586,406,False
282,42286,50,0,binnen,27511,53870648,586,1066,False
284,45080,40,0,binnen,27511,53870648,586,932,False
285,39257,12,0,binnen,27511,53870648,586,937,False
286,48602,12,7,binnen,27511,53870648,586,379,False
287,43259,47,0,binnen,27511,53870648,586,996,False
288,49411,47,0,binnen,12121,95267167,842,1100,False
289,50116,50,0,binnen,12121,95267167,842,959,False
291,48968,2,0,binnen,12121,95267167,842,1203,False
292,53580,61,7,binnen,12121,95267167,842,249,False
293,53748,12,0,binnen,12121,95267167,842,977,False
294,52245,12,7,binnen,12121,95267167,842,243,False
295,49207,40,0,binnen,12121,95267167,842,1079,False
296,49440,47,0,binnen,14753,31201984,842,1426,False
297,49219,40,0,binnen,14753,31201984,842,1169,False
298,52261,12,7,binnen,14753,31201984,842,236,False
299,50126,50,0,binnen,14753,31201984,842,1066,False
301,48953,2,0,binnen,14753,31201984,842,1432,False
302,53756,12,0,binnen,14753,31201984,842,1363,False
303,53631,61,7,binnen,14753,31201984,842,242,False
304,49152,40,0,binnen,12123,93052715,842,970,False
306,49441,47,0,binnen,12123,93052715,842,1113,False
307,50124,50,0,binnen,12123,93052715,842,1109,False
308,53741,12,0,binnen,12123,93052715,842,1121,False
309,53552,61,7,binnen,12123,93052715,842,241,False
310,51831,12,7,binnen,12123,93052715,842,302,False
311,48955,2,0,binnen,12123,93052715,842,1152,False
312,49222,40,0,binnen,17947,30230635,842,1266,False
313,53771,12,0,binnen,17947,30230635,842,1264,False
314,52235,12,7,binnen,17947,30230635,842,239,False
315,53581,61,7,binnen,17947,30230635,842,241,False
316,48974,2,0,binnen,17947,30230635,842,1297,False
317,53425,50,0,binnen,17947,30230635,842,1138,False
318,49370,47,0,binnen,17947,30230635,842,1199,False
319,52178,12,7,binnen,11064,60985414,842,245,False
320,4278277421,48,7,binnen,11064,60985414,842,2058,True
321,4278267919,48,7,binnen,19978,40215503,842,2047,True
322,4278271230,48,7,binnen,11089,12638676,842,1879,True
323,50146,50,0,binnen,11652,70441532,842,1115,False
324,49410,47,0,binnen,11652,70441532,842,1276,False
325,53767,12,0,binnen,11652,70441532,842,1229,False
327,52176,12,7,binnen,11652,70441532,842,230,False
328,49171,40,0,binnen,11652,70441532,842,1314,False
329,48951,2,0,binnen,11652,70441532,842,1106,False
330,53566,61,7,binnen,11652,70441532,842,242,False
331,50149,50,0,binnen,15400,94159894,842,1152,False
332,51813,12,7,binnen,15400,94159894,842,263,False
333,53577,61,7,binnen,15400,94159894,842,224,False
334,49162,40,0,binnen,15400,94159894,842,1336,False
335,48975,2,0,binnen,15400,94159894,842,1197,False
337,53749,12,0,binnen,15400,94159894,842,1284,False
338,49399,47,0,binnen,15400,94159894,842,1142,False
339,4278267952,48,7,binnen,11065,27317152,842,2080,True
340,43800,2,7,binnen,11065,27317152,842,236,False
341,4278277412,48,7,binnen,11065,27317152,842,1967,True
342,53764,12,0,binnen,14809,11530275,842,1091,False
343,53540,61,7,binnen,14809,11530275,842,255,False
345,50123,50,0,binnen,14809,11530275,842,1018,False
346,49196,40,0,binnen,14809,11530275,842,985,False
347,48941,2,0,binnen,14809,11530275,842,1146,False
348,49396,47,0,binnen,14809,11530275,842,1230,False
349,52222,12,7,binnen,14809,11530275,842,239,False
351,48971,2,0,binnen,25662,32173427,842,1239,False
352,53583,61,7,binnen,25662,32173427,842,244,False
353,53746,12,0,binnen,25662,32173427,842,1223,False
354,49205,40,0,binnen,25662,32173427,842,1353,False
355,49401,47,0,binnen,25662,32173427,842,1197,False
356,50171,50,0,binnen,25662,32173427,842,1210,False
357,52317,12,7,binnen,25662,32173427,842,234,False
358,52227,12,7,binnen,11580,69421209,844,232,False
359,50130,50,0,binnen,11580,69421209,844,923,False
360,53739,12,0,binnen,11580,69421209,844,900,False
361,53744,12,0,binnen,11581,27056443,844,1004,False
362,51809,12,7,binnen,11581,27056443,844,236,False
363,52273,12,7,binnen,11574,76565444,844,241,False
364,50154,50,0,binnen,11574,76565444,844,912,False
365,53755,12,0,binnen,11574,76565444,844,1011,False
366,50185,50,0,binnen,11575,23727856,844,1028,False
367,53740,12,0,binnen,11575,23727856,844,1023,False
368,52213,12,7,binnen,11575,23727856,844,247,False
369,4278277415,48,7,binnen,19984,48873467,844,2056,True
370,53752,12,0,binnen,11573,28288219,844,1013,False
371,52291,12,7,binnen,11573,28288219,844,253,False
372,4278277395,48,7,binnen,11106,31495875,844,2000,True
373,51818,12,7,binnen,11577,26346179,844,237,False
374,53773,12,0,binnen,11577,26346179,844,1005,False
375,50127,50,0,binnen,11577,26346179,844,956,False
376,50184,50,0,binnen,11576,24837291,844,1035,False
377,53757,12,0,binnen,11576,24837291,844,901,False
378,52270,12,7,binnen,11576,24837291,844,254,False
379,53768,12,0,binnen,11582,28166160,844,1031,False
380,52264,12,7,binnen,11582,28166160,844,249,False
381,50131,50,0,binnen,11582,28166160,844,921,False
382,53760,12,0,binnen,11583,84851074,844,974,False
383,53418,50,0,binnen,11583,84851074,844,1013,False
384,52215,12,7,binnen,11583,84851074,844,250,False
385,53770,12,0,binnen,11578,25946820,844,946,False
386,50182,50,0,binnen,11578,25946820,844,959,False
387,52207,12,7,binnen,11578,25946820,844,236,False
388,50128,50,0,binnen,11579,78667942,844,889,False
389,53750,12,0,binnen,11579,78667942,844,1006,False
390,51812,12,7,binnen,11082,29259380,844,238,False
391,43801,2,7,binnen,11082,29259380,844,238,False
392,4278277420,48,7,binnen,11082,29259380,844,2021,True
393,4278277425,48,7,binnen,19985,50316790,844,2094,True
394,51814,12,7,binnen,26136,17073220,843,231,False
395,49226,40,0,binnen,26136,17073220,843,1287,False
396,49357,47,0,binnen,26136,17073220,843,1290,False
397,53742,12,0,binnen,26136,17073220,843,1025,False
398,53423,50,0,binnen,26136,17073220,843,1126,False
400,53627,61,7,binnen,26136,17073220,843,251,False
401,48959,2,0,binnen,26136,17073220,843,1272,False
402,49409,47,0,binnen,27664,23433824,843,1330,False
403,50180,50,0,binnen,27664,23433824,843,1193,False
404,48935,2,0,binnen,27664,23433824,843,1455,False
405,49195,40,0,binnen,27664,23433824,843,929,False
406,53591,61,7,binnen,27664,23433824,843,240,False
407,53584,61,7,binnen,27664,23433824,843,237,False
409,52219,12,7,binnen,27664,23433824,843,272,False
410,53758,12,0,binnen,27664,23433824,843,1270,False
411,49193,40,0,binnen,26381,15964443,843,1185,False
412,51817,12,7,binnen,26381,15964443,843,249,False
413,53743,12,0,binnen,26381,15964443,843,1084,False
414,48949,2,0,binnen,26381,15964443,843,968,False
415,53109,61,7,binnen,26381,15964443,843,253,False
416,50167,50,0,binnen,26381,15964443,843,1134,False
418,49407,47,0,binnen,26381,15964443,843,1158,False
419,4278277432,48,7,binnen,11098,22618515,843,2114,True
420,49408,47,0,binnen,27539,68400980,843,1515,False
421,52224,12,7,binnen,27539,68400980,843,240,False
422,50147,50,0,binnen,27539,68400980,843,1116,False
424,53747,12,0,binnen,27539,68400980,843,1204,False
425,53621,61,7,binnen,27539,68400980,843,255,False
426,49145,40,0,binnen,27539,68400980,843,1259,False
427,48958,2,0,binnen,27539,68400980,843,938,False
428,4278277427,48,7,binnen,11075,73139567,843,2070,True
429,52184,12,7,binnen,11074,20522315,843,219,False
430,52305,12,7,binnen,11074,20522315,843,238,False
431,52179,12,7,binnen,11074,20522315,843,224,False
432,4278277201,48,7,binnen,19983,44544062,843,2080,True
433,4278271258,48,7,binnen,11097,21509268,843,1844,True
434,53573,61,7,binnen,26707,54360670,843,257,False
435,49191,40,0,binnen,26707,54360670,843,922,False
436,48919,2,0,binnen,26707,54360670,843,1297,False
437,49398,47,0,binnen,26707,54360670,843,1078,False
